site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,OUTER,2,NERLUE,308,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,INNER,1,NERLUE,22,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,INNER,2,NERLUE,92,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,MID,1,NERLUE,73,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,MID,2,NERLUE,68,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2005,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,INNER,1,NERLUE,300,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,INNER,2,NERLUE,23,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,MID,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,MID,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2006,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,INNER,1,NERLUE,158,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,INNER,2,NERLUE,34,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,MID,1,NERLUE,26,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,MID,2,NERLUE,8,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,OUTER,1,NERLUE,37,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2007,OUTER,2,NERLUE,13,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,INNER,1,NERLUE,5,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,INNER,2,NERLUE,13,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,MID,1,NERLUE,4,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,MID,2,NERLUE,13,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2008,OUTER,1,NERLUE,1,pisco,NA
