site,longitude,latitude,year,zone,transect,survey,den_macpyr,final_depth,depth_origin,den_urchin,Wave_Mean,Wave_Max,Wave_95prc,Wave_99prc,ubr_mean,ubr_max,ID,Max_Nitrate,Max_Temp,Mean_Nitrate,Mean_Summer_Nitrate,Mean_Summer_Temp,Mean_Temp,Mean_Upwelling_Nitrate,Mean_Upwelling_Temp,Min_Nitrate,Min_Temp
OTTER_PT_UC,-121.918929,36.634633,2015,OUTER,1,pisco,0.26666666666666666,15.3,insitu,1.4833333333333334,6.06997156143188,6.06997156143188,6.06997156143188,6.06997156143188,173.45,190.85,58,10.108737819796666,17.187741935483867,2.3567345672490174,0.6462685204949892,16.18598709677419,14.70560999876406,5.0499537727670525,13.2042251575825,0.3512731277419355,11.976333333333335
OTTER_PT_UC,-121.918929,36.634633,2015,OUTER,2,pisco,0.18333333333333332,15.9,insitu,3.1333333333333333,6.06997156143188,6.06997156143188,6.06997156143188,6.06997156143188,173.45,190.85,58,10.108737819796666,17.187741935483867,2.3567345672490174,0.6462685204949892,16.18598709677419,14.70560999876406,5.0499537727670525,13.2042251575825,0.3512731277419355,11.976333333333335
OTTER_PT_UC,-121.918929,36.634633,2016,INNER,1,pisco,0.05,6.2,insitu,1.1333333333333333,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2016,INNER,2,pisco,0,6.2,insitu,1.2666666666666666,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2016,MID,1,pisco,0.08333333333333333,11.4,insitu,5.05,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2016,MID,2,pisco,0.1,11.4,insitu,1.5666666666666669,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2016,OUTER,1,pisco,0.03333333333333333,15.9,insitu,0.75,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2016,OUTER,2,pisco,0.03333333333333333,16.2,insitu,0.43333333333333335,3.93795275688171,3.93795275688171,3.93795275688171,3.93795275688171,105.39,120.21,58,7.179941268429031,14.920645161290324,2.9917065572628623,1.8493609290383652,14.274012903225806,13.770963845686126,3.7082193864372712,13.326866167434716,2.3762203630999985,12.995333333333331
OTTER_PT_UC,-121.918929,36.634633,2017,INNER,1,pisco,0,6,insitu,3.2,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,INNER,2,pisco,0,6.1,insitu,3.6666666666666665,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,MID,1,pisco,0,10.2,insitu,10.55,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,MID,2,pisco,0,10.1,insitu,7.433333333333334,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,1,pisco,0,15.4,insitu,0,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,1,pisco,0,15.4,insitu,2.8666666666666667,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,2,pisco,0,15.3,insitu,0,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,2,pisco,0,15.3,insitu,2.466666666666667,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,1,pisco,0,15.4,insitu,0,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,1,pisco,0,15.4,insitu,2.8666666666666667,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,2,pisco,0,15.3,insitu,0,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2017,OUTER,2,pisco,0,15.3,insitu,2.466666666666667,5.98996734619141,5.98996734619141,5.98996734619141,5.98996734619141,155.95,176.16,58,10.63379814456774,16.293666666666663,4.703827336450888,2.97782362560086,14.159309677419355,13.39688754480287,6.976892065592908,12.563337365591398,3.3274823172129024,11.90064516129032
OTTER_PT_UC,-121.918929,36.634633,2018,INNER,1,pisco,0.03333333333333333,5.3,insitu,15.8,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2018,INNER,2,pisco,0.01666666666666666,6.2,insitu,20.6,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2018,MID,1,pisco,0.1,7.4,insitu,28.916666666666668,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2018,MID,2,pisco,0,7.83,insitu,26.6,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2018,OUTER,1,pisco,0,15.1,insitu,2.3,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2018,OUTER,2,pisco,0,15.3,insitu,6.116666666666666,5.39068460464478,5.39068460464478,5.39068460464478,5.39068460464478,141.48,161.53,58,8.798085415809677,15.588709677419356,4.327088653342103,3.1348094265482365,14.099961290322582,13.596398745519714,7.67557318350104,12.422182795698925,1.7793446465322582,12.196774193548386
OTTER_PT_UC,-121.918929,36.634633,2019,INNER,1,pisco,0,4.8,insitu,23.15,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2019,INNER,2,pisco,0,4.8,insitu,16.416666666666668,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2019,MID,1,pisco,0,9.4,insitu,12.333333333333334,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2019,MID,2,pisco,0,9.4,insitu,15.983333333333333,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2019,OUTER,1,pisco,0,13.7,insitu,3.316666666666667,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2019,OUTER,2,pisco,0,14.4,insitu,2.5,3.77397155761719,3.77397155761719,3.77397155761719,3.77397155761719,105.39,113.85,58,5.866274283826666,14.906000000000002,3.1021524032601526,2.0816071334081068,14.179318279569893,13.663651619082934,4.213502856687743,13.21575324434557,2.0629039200709673,12.801333333333332
OTTER_PT_UC,-121.918929,36.634633,2020,MID,1,pisco,0,8.2,insitu,9.933333333333334,3.17131066322327,3.17131066322327,3.17131066322327,3.17131066322327,88.59,92.37,58,12.94520169306129,14.501612903225801,4.639942906044483,2.0236516789988164,14.126464516129033,13.323682115655402,5.248664988737213,13.003705453149003,2.111077625041935,12.205714285714285
OTTER_PT_UC,-121.918929,36.634633,2020,MID,2,pisco,0,8.8,insitu,16.333333333333332,3.17131066322327,3.17131066322327,3.17131066322327,3.17131066322327,88.59,92.37,58,12.94520169306129,14.501612903225801,4.639942906044483,2.0236516789988164,14.126464516129033,13.323682115655402,5.248664988737213,13.003705453149003,2.111077625041935,12.205714285714285
OTTER_PT_UC,-121.918929,36.634633,2020,INNER,1,pisco,0,4.7,insitu,6.083333333333333,3.17131066322327,3.17131066322327,3.17131066322327,3.17131066322327,88.59,92.37,58,12.94520169306129,14.501612903225801,4.639942906044483,2.0236516789988164,14.126464516129033,13.323682115655402,5.248664988737213,13.003705453149003,2.111077625041935,12.205714285714285
OTTER_PT_UC,-121.918929,36.634633,2020,INNER,2,pisco,0,5.3,insitu,76.66666666666667,3.17131066322327,3.17131066322327,3.17131066322327,3.17131066322327,88.59,92.37,58,12.94520169306129,14.501612903225801,4.639942906044483,2.0236516789988164,14.126464516129033,13.323682115655402,5.248664988737213,13.003705453149003,2.111077625041935,12.205714285714285
OTTER_PT_UC,-121.918929,36.634633,2020,OUTER,1,pisco,0,15.8,insitu,1.2,3.17131066322327,3.17131066322327,3.17131066322327,3.17131066322327,88.59,92.37,58,12.94520169306129,14.501612903225801,4.639942906044483,2.0236516789988164,14.126464516129033,13.323682115655402,5.248664988737213,13.003705453149003,2.111077625041935,12.205714285714285
